,Agent,Address,Price,Type,No. Bedroom,No. Bathroom,No. Carpark,Land area
165,My Property Consultants - CAMPBELLTOWN,"10A Regents Street, Campbelltown","$479,000 - $519,000",House,2 bedrooms,1 bathroom,1 parking space,N/A
166,Molenaar + McNeice,"104 Princes Highway, Thirroul",Contact Agent,House,4 bedrooms,1 bathroom,1 parking space,663 m² land size
167,Molenaar + McNeice,"8/14 High Street, Woonona","$650,000 - $700,000",Townhouse,3 bedrooms,2 bathrooms,1 parking space,N/A
168,Molenaar + McNeice,"1/14 Popes Road, Woonona","$600,000 - $660,000",Townhouse,3 bedrooms,2 bathrooms,1 parking space,N/A
169,Raine & Horne Forestville - Frenchs Forest,"101 Ballyshannon Road, Killarney Heights",Auction (Unless sold prior),House,5 bedrooms,4 bathrooms,2 parking spaces,727 m² land size
170,First National - Ulladulla,"13 Harold Street, Kings Point","$599,000",House,3 bedrooms,3 bathrooms,3 parking spaces,721 m² land size
171,Ray White - Macarthur Group,"10 Liberator Street, Raby","$689,500",House,3 bedrooms,2 bathrooms,2 parking spaces,565 m² land size
172,Laing+Simmons - Granville,"15 Pegler Avenue, Granville",Auction,House,5 bedrooms,2 bathrooms,4 parking spaces,N/A
173,"United Realty - Acreage, Residential, Prestige ","1163 Burragorang Road, The Oaks",Contact Agent,House,4 bedrooms,2 bathrooms,8 parking spaces,"3,915 m² land size"
174,The Agency - Eastern Suburbs,"286 Mitchell Road, Alexandria",Contact Agent,House,3 bedrooms,1 bathroom,2 parking spaces,132 m² land size
175,Argy Property - Kogarah,"4/16 Resthaven Road, South Hurstville",AUCTION,Villa,3 bedrooms,2 bathrooms,2 parking spaces,N/A
176,Century 21 Curtis & Blair,"36 Sassin Crescent, Medowie",CONTACT AGENT,House,5 bedrooms,3 bathrooms,6 parking spaces,"2,049 m² land size"
177,Stone Real Estate Beecroft - BEECROFT,"3 Ward Street, Eastwood",Contact Agent,House,4 bedrooms,2 bathrooms,2 parking spaces,752 m² land size
